	input	category	prediction
20	Emma believed that a student liked that a chicken valued that the child proved that Jacob believed that a boy believed that a duck burned a cake .	cp_recursion	"Emma ( 1 ) ; student ( 2 ) ; chicken ( 3 ) ; * child ( 4 ) ; Jacob ( 5 ) ; boy ( 6 ) ; duck ( 7 ) ; cake ( 8 ) ; believe ( 9 ) AND agent ( 9 , 1 ) AND ccomp ( 9 , 10 ) ; like ( 10 ) AND agent ( 10 , 2 ) AND ccomp ( 10 , 11 ) ; value ( 11 ) AND agent ( 11 , 3 ) AND ccomp ( 11 , 12 ) ; prove ( 12 ) AND agent ( 12 , 4 ) AND ccomp ( 12 , 13 ) ; believe ( 13 ) AND agent ( 13 , 5 ) AND ccomp ( 13 , 14 ) ; believe ( 14 ) AND agent ( 14 , 6 ) AND ccomp ( 14 , 15 ) ; burn ( 15 ) AND agent ( 15 , 7 ) AND theme ( 15 , 8 ) 

This logical form attempts to capture the nested structure of beliefs and actions, starting from Emma and moving through each layer of belief and action down to the final event of a duck burning a cake. Each action verb connects to its agent and, when applicable, to the clause it governs, represented by the ""ccomp"" (clausal complement) relation."
21	A chicken believed that Ellie liked that Olivia expected that a boy admired that a cat valued that Emma appreciated that Liam hoped that Ava said that Isaac liked that a creature declared that the dog liked that a cake was fed to a girl .	cp_recursion	"chicken ( 1 ) ; Ellie ( 2 ) ; Olivia ( 3 ) ; boy ( 4 ) ; cat ( 5 ) ; Emma ( 6 ) ; Liam ( 7 ) ; Ava ( 8 ) ; Isaac ( 9 ) ; creature ( 10 ) ; * dog ( 11 ) ; * cake ( 12 ) ; girl ( 13 ) ; believe ( 14 ) AND agent ( 14 , 1 ) AND ccomp ( 14 , 15 ) ; like ( 15 ) AND agent ( 15 , 2 ) AND ccomp ( 15 , 16 ) ; expect ( 16 ) AND agent ( 16 , 3 ) AND ccomp ( 16 , 17 ) ; admire ( 17 ) AND agent ( 17 , 4 ) AND ccomp ( 17 , 18 ) ; value ( 18 ) AND agent ( 18 , 5 ) AND ccomp ( 18 , 19 ) ; appreciate ( 19 ) AND agent ( 19 , 6 ) AND ccomp ( 19 , 20 ) ; hope ( 20 ) AND agent ( 20 , 7 ) AND ccomp ( 20 , 21 ) ; say ( 21 ) AND agent ( 21 , 8 ) AND ccomp ( 21 , 22 ) ; like ( 22 ) AND agent ( 22 , 9 ) AND ccomp ( 22 , 23 ) ; declare ( 23 ) AND agent ( 23 , 10 ) AND ccomp ( 23 , 24 ) ; like ( 24 ) AND agent ( 24 , 11 ) AND ccomp ( 24 , 25 ) ; feed ( 25 ) AND theme ( 25 , 12 ) AND recipient ( 25 , 13 )

This logical form attempts to capture the complex nested structure of the sentence, with each action linked to its respective agent and, where applicable, to its theme or recipient. The use of ""ccomp"" (clausal complement) connects actions to their embedded clauses, reflecting the depth of the sentence's structure."
22	The pig liked that Levi liked that the dog supported that Sophia wished that the girl imagined that the cat liked that the baby liked that Logan noticed that the president meant that Emma admired that a horse passed the donut on a carpet on a table to Olivia .	cp_recursion	"horse ( 1 ) ; * donut ( 5 ) ; * carpet ( 9 ) ; * table ( 13 ) ; Olivia ( 17 ) ; Emma ( 21 ) ; * president ( 25 ) ; Logan ( 29 ) ; * baby ( 33 ) ; * cat ( 37 ) ; * girl ( 41 ) ; Sophia ( 45 ) ; * dog ( 49 ) ; Levi ( 53 ) ; * pig ( 57 ) ; pass ( 61 ) AND agent ( 61 , 1 ) AND theme ( 61 , 5 ) AND recipient ( 61 , 17 ) AND nmod.on ( 5 , 9 ) AND nmod.on ( 9 , 13 ) AND admire ( 65 ) AND agent ( 65 , 21 ) AND ccomp ( 65 , 61 ) AND mean ( 69 ) AND agent ( 69 , 25 ) AND ccomp ( 69 , 65 ) AND notice ( 73 ) AND agent ( 73 , 29 ) AND ccomp ( 73 , 69 ) AND like ( 77 ) AND agent ( 77 , 33 ) AND ccomp ( 77 , 73 ) AND imagine ( 81 ) AND agent ( 81 , 41 ) AND ccomp ( 81 , 77 ) AND wish ( 85 ) AND agent ( 85 , 45 ) AND ccomp ( 85 , 81 ) AND support ( 89 ) AND agent ( 89 , 49 ) AND ccomp ( 89 , 85 ) AND like ( 93 ) AND agent ( 93 , 53 ) AND ccomp ( 93 , 89 ) AND like ( 97 ) AND agent ( 97 , 57 ) AND ccomp ( 97 , 93 )

This logical form attempts to capture the complex nested structure of the sentence by sequentially connecting each clause's action with its agent, theme, recipient, and any locational modifiers, then linking each clause to the next through the appropriate logical relationships."
23	Henry said that a cat believed that Lucas noticed that the baby respected that a boy liked that Emma hoped that a child liked that Leah admired that a girl was fed a jar in the house by Noah .	cp_recursion	"Henry ( 1 ) ; cat ( 2 ) ; Lucas ( 3 ) ; * baby ( 4 ) ; boy ( 5 ) ; Emma ( 6 ) ; child ( 7 ) ; Leah ( 8 ) ; * girl ( 9 ) ; * jar ( 10 ) ; * house ( 11 ) ; Noah ( 12 ) ; say ( 13 ) AND agent ( 13 , 1 ) AND ccomp ( 13 , 14 ) ; believe ( 14 ) AND agent ( 14 , 2 ) AND ccomp ( 14 , 15 ) ; notice ( 15 ) AND agent ( 15 , 3 ) AND ccomp ( 15 , 16 ) ; respect ( 16 ) AND agent ( 16 , 4 ) AND ccomp ( 16 , 17 ) ; like ( 17 ) AND agent ( 17 , 5 ) AND ccomp ( 17 , 18 ) ; hope ( 18 ) AND agent ( 18 , 6 ) AND ccomp ( 18 , 19 ) ; like ( 19 ) AND agent ( 19 , 7 ) AND ccomp ( 19 , 20 ) ; admire ( 20 ) AND agent ( 20 , 8 ) AND ccomp ( 20 , 21 ) ; feed ( 21 ) AND agent ( 21 , 12 ) AND theme ( 21 , 9 ) AND theme ( 21 , 10 ) AND nmod.in ( 10 , 11 )

This logical form attempts to capture the complex nested structure of the sentence, connecting each action with its respective agents, themes, recipients, and locations as indicated by the sentence. Each action is represented by a verb, and the relationships between actions and entities are represented by logical relations such as agent, theme, recipient, and location modifiers."
24	The boy meant that the poet liked that a squirrel proved that William respected that a bird hoped that Hannah hoped that Liam liked that the cake changed .	cp_recursion	"* boy ( 1 ) ; * poet ( 2 ) ; squirrel ( 3 ) ; William ( 4 ) ; * bird ( 5 ) ; Hannah ( 6 ) ; Liam ( 7 ) ; * cake ( 8 ) ; mean ( 9 ) AND agent ( 9 , 1 ) AND ccomp ( 9 , 10 ) ; like ( 10 ) AND agent ( 10 , 2 ) AND ccomp ( 10 , 11 ) ; prove ( 11 ) AND agent ( 11 , 3 ) AND ccomp ( 11 , 12 ) ; respect ( 12 ) AND agent ( 12 , 4 ) AND ccomp ( 12 , 13 ) ; hope ( 13 ) AND agent ( 13 , 5 ) AND ccomp ( 13 , 14 ) ; hope ( 14 ) AND agent ( 14 , 6 ) AND ccomp ( 14 , 15 ) ; like ( 15 ) AND agent ( 15 , 7 ) AND ccomp ( 15 , 16 ) ; change ( 16 ) AND theme ( 16 , 8 )

This logical form attempts to capture the complex nested structure of the sentence by sequentially connecting each action to its agent and to the clause it introduces, using ""ccomp"" to indicate clausal complements."
25	Emma thought that Olivia noticed that James noticed that the duke liked that Mila meant that Natalie said that a teacher noticed that Noah hoped that Amelia proved that Audrey liked that a donut was painted by a student .	cp_recursion	"Emma ( 1 ) ; Olivia ( 2 ) ; James ( 3 ) ; * duke ( 4 ) ; Mila ( 5 ) ; Natalie ( 6 ) ; teacher ( 7 ) ; Noah ( 8 ) ; Amelia ( 9 ) ; Audrey ( 10 ) ; donut ( 11 ) ; student ( 12 ) ; think ( 13 ) AND agent ( 13 , 1 ) AND ccomp ( 13 , 14 ) ; notice ( 14 ) AND agent ( 14 , 2 ) AND ccomp ( 14 , 15 ) ; notice ( 15 ) AND agent ( 15 , 3 ) AND ccomp ( 15 , 16 ) ; like ( 16 ) AND agent ( 16 , 4 ) AND ccomp ( 16 , 17 ) ; mean ( 17 ) AND agent ( 17 , 5 ) AND ccomp ( 17 , 18 ) ; say ( 18 ) AND agent ( 18 , 6 ) AND ccomp ( 18 , 19 ) ; notice ( 19 ) AND agent ( 19 , 7 ) AND ccomp ( 19 , 20 ) ; hope ( 20 ) AND agent ( 20 , 8 ) AND ccomp ( 20 , 21 ) ; prove ( 21 ) AND agent ( 21 , 9 ) AND ccomp ( 21 , 22 ) ; like ( 22 ) AND agent ( 22 , 10 ) AND ccomp ( 22 , 23 ) ; paint ( 23 ) AND agent ( 23 , 12 ) AND theme ( 23 , 11 )

This logical form attempts to capture the complex nested structure of thoughts and perceptions, with each action connected to its agent and, where applicable, to the content of the thought or perception."
26	Emma liked that the lion liked that Abigail said that Sebastian liked that Matthew hoped that the donut burned .	cp_recursion	Emma ( 1 ) ; * lion ( 9 ) ; Abigail ( 17 ) ; Sebastian ( 25 ) ; Matthew ( 33 ) ; * donut ( 41 ) ; like ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) ; like ( 13 ) AND agent ( 13 , 9 ) AND ccomp ( 13 , 21 ) ; say ( 21 ) AND agent ( 21 , 17 ) AND ccomp ( 21 , 29 ) ; like ( 29 ) AND agent ( 29 , 25 ) AND ccomp ( 29 , 37 ) ; hope ( 37 ) AND agent ( 37 , 33 ) AND ccomp ( 37 , 45 ) ; burn ( 45 ) AND theme ( 45 , 41 )
27	A boy confessed that the professor imagined that Jacob liked that a girl liked that Liam respected that Ava wanted to sleep .	cp_recursion	boy ( 1 ) ; * professor ( 9 ) ; Jacob ( 17 ) ; girl ( 25 ) ; Liam ( 33 ) ; Ava ( 41 ) ; confess ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND imagine ( 13 ) AND agent ( 13 , 9 ) AND ccomp ( 13 , 21 ) AND like ( 21 ) AND agent ( 21 , 17 ) AND ccomp ( 21 , 29 ) AND like ( 29 ) AND agent ( 29 , 25 ) AND ccomp ( 29 , 37 ) AND respect ( 37 ) AND agent ( 37 , 33 ) AND ccomp ( 37 , 45 ) AND want ( 45 ) AND agent ( 45 , 41 ) AND xcomp ( 45 , 49 ) AND sleep ( 49 )
28	Olivia admired that Sophia hoped that Noah expected that the rose was rolled by Emma .	cp_recursion	Olivia ( 1 ) ; Sophia ( 9 ) ; Noah ( 17 ) ; * rose ( 25 ) ; Emma ( 33 ) ; admire ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) ; hope ( 13 ) AND agent ( 13 , 9 ) AND ccomp ( 13 , 21 ) ; expect ( 21 ) AND agent ( 21 , 17 ) AND ccomp ( 21 , 29 ) ; roll ( 29 ) AND theme ( 29 , 25 ) AND agent ( 29 , 33 )
29	The scientist declared that William said that Daniel liked that the game was eaten by Aria .	cp_recursion	* scientist ( 1 ) ; William ( 5 ) ; Daniel ( 9 ) ; * game ( 13 ) ; Aria ( 17 ) ; declare ( 21 ) AND agent ( 21 , 1 ) AND ccomp ( 21 , 25 ) AND say ( 25 ) AND agent ( 25 , 5 ) AND ccomp ( 25 , 29 ) AND like ( 29 ) AND agent ( 29 , 9 ) AND ccomp ( 29 , 33 ) AND eat ( 33 ) AND theme ( 33 , 13 ) AND agent ( 33 , 17 )
30	Olivia admired that a girl liked that Ava said that a bee admired that the citizen noticed that William noticed that Noah hoped that Liam confessed that Emma hoped that Lucas appreciated that the tool froze .	cp_recursion	"Olivia ( 1 ) ; girl ( 2 ) ; Ava ( 3 ) ; bee ( 4 ) ; * citizen ( 5 ) ; William ( 6 ) ; Noah ( 7 ) ; Liam ( 8 ) ; Emma ( 9 ) ; Lucas ( 10 ) ; * tool ( 11 ) ; admire ( 12 ) AND agent ( 12 , 1 ) AND ccomp ( 12 , 13 ) ; like ( 13 ) AND agent ( 13 , 2 ) AND ccomp ( 13 , 14 ) ; say ( 14 ) AND agent ( 14 , 3 ) AND ccomp ( 14 , 15 ) ; admire ( 15 ) AND agent ( 15 , 4 ) AND ccomp ( 15 , 16 ) ; notice ( 16 ) AND agent ( 16 , 5 ) AND ccomp ( 16 , 17 ) ; notice ( 17 ) AND agent ( 17 , 6 ) AND ccomp ( 17 , 18 ) ; hope ( 18 ) AND agent ( 18 , 7 ) AND ccomp ( 18 , 19 ) ; confess ( 19 ) AND agent ( 19 , 8 ) AND ccomp ( 19 , 20 ) ; hope ( 20 ) AND agent ( 20 , 9 ) AND ccomp ( 20 , 21 ) ; appreciate ( 21 ) AND agent ( 21 , 10 ) AND ccomp ( 21 , 22 ) ; freeze ( 22 ) AND theme ( 22 , 11 ).

This logical form represents the complex nested structure of the sentence, with each action linked to its agent and to the complex event it relates to."
31	Elizabeth liked that the girl hoped that Liam thought that a mouse said that a teacher liked that Isabella liked that Emma floated .	cp_recursion	"Elizabeth ( 1 ) ; * girl ( 2 ) ; Liam ( 3 ) ; * mouse ( 4 ) ; * teacher ( 5 ) ; Isabella ( 6 ) ; Emma ( 7 ) ; like ( 8 ) AND agent ( 8 , 1 ) AND ccomp ( 8 , 9 ) ; hope ( 9 ) AND agent ( 9 , 2 ) AND ccomp ( 9 , 10 ) ; think ( 10 ) AND agent ( 10 , 3 ) AND ccomp ( 10 , 11 ) ; say ( 11 ) AND agent ( 11 , 4 ) AND ccomp ( 11 , 12 ) ; like ( 12 ) AND agent ( 12 , 5 ) AND ccomp ( 12 , 13 ) ; like ( 13 ) AND agent ( 13 , 6 ) AND ccomp ( 13 , 14 ) ; float ( 14 ) AND agent ( 14 , 7 )

This logical form attempts to capture the nested structure of the sentence by using ""ccomp"" (clausal complement) to link the actions and their subjects to the objects of the verbs that govern them. Each action is represented by a unique identifier when necessary to distinguish between different instances of the same verb (e.g., ""like"", ""hope"")."
32	A dog confessed that a child said that James said that Victoria hoped that the goose expected that the guard declared that the puppy valued that Benjamin valued that Liam said that the boy believed that a girl noticed that Olivia changed Emma .	cp_recursion	"dog ( 1 ) ; child ( 2 ) ; James ( 3 ) ; Victoria ( 4 ) ; * goose ( 5 ) ; * guard ( 6 ) ; * puppy ( 7 ) ; Benjamin ( 8 ) ; Liam ( 9 ) ; * boy ( 10 ) ; girl ( 11 ) ; Olivia ( 12 ) ; Emma ( 13 ) ; confess ( 14 ) AND agent ( 14 , 1 ) AND ccomp ( 14 , 15 ) ; say ( 15 ) AND agent ( 15 , 2 ) AND ccomp ( 15 , 16 ) ; say ( 16 ) AND agent ( 16 , 3 ) AND ccomp ( 16 , 17 ) ; hope ( 17 ) AND agent ( 17 , 4 ) AND ccomp ( 17 , 18 ) ; expect ( 18 ) AND agent ( 18 , 5 ) AND ccomp ( 18 , 19 ) ; declare ( 19 ) AND agent ( 19 , 6 ) AND ccomp ( 19 , 20 ) ; value ( 20 ) AND agent ( 20 , 7 ) AND ccomp ( 20 , 21 ) ; value ( 21 ) AND agent ( 21 , 8 ) AND ccomp ( 21 , 22 ) ; say ( 22 ) AND agent ( 22 , 9 ) AND ccomp ( 22 , 23 ) ; believe ( 23 ) AND agent ( 23 , 10 ) AND ccomp ( 23 , 24 ) ; notice ( 24 ) AND agent ( 24 , 11 ) AND ccomp ( 24 , 25 ) ; change ( 25 ) AND agent ( 25 , 12 ) AND theme ( 25 , 13 )

This logical form represents the complex nested structure of the sentence, with each action connected to its agent and theme (and sometimes recipient), and each nested clause connected to the main clause or the preceding clause by a ""ccomp"" relation."
33	Emma believed that the citizen wished that the chicken thought that a girl liked that a butterfly rolled .	cp_recursion	Emma ( 1 ) ; * citizen ( 5 ) ; * chicken ( 9 ) ; girl ( 13 ) ; butterfly ( 17 ) ; believe ( 2 ) AND agent ( 2 , 1 ) AND ccomp ( 2 , 6 ) AND wish ( 6 ) AND agent ( 6 , 5 ) AND ccomp ( 6 , 10 ) AND think ( 10 ) AND agent ( 10 , 9 ) AND ccomp ( 10 , 14 ) AND like ( 14 ) AND agent ( 14 , 13 ) AND ccomp ( 14 , 18 ) AND roll ( 18 ) AND agent ( 18 , 17 )
34	A cat liked that Luna hoped that Emma liked that Olivia liked that Liam appreciated that the bear floated .	cp_recursion	cat ( 1 ) ; Luna ( 2 ) ; Emma ( 3 ) ; Olivia ( 4 ) ; Liam ( 5 ) ; * bear ( 6 ) ; like ( 7 ) AND agent ( 7 , 1 ) AND ccomp ( 7 , 8 ) ; hope ( 8 ) AND agent ( 8 , 2 ) AND ccomp ( 8 , 9 ) ; like ( 9 ) AND agent ( 9 , 3 ) AND ccomp ( 9 , 10 ) ; like ( 10 ) AND agent ( 10 , 4 ) AND ccomp ( 10 , 11 ) ; appreciate ( 11 ) AND agent ( 11 , 5 ) AND ccomp ( 11 , 12 ) ; float ( 12 ) AND theme ( 12 , 6 )
35	The judge liked that Emma declared that a patient said that Isabella believed that Liam hoped that Olivia liked that the child liked that a girl hoped that Oliver liked that the king was given a cake .	cp_recursion	"* judge ( 1 ) ; Emma ( 2 ) ; patient ( 3 ) ; Isabella ( 4 ) ; Liam ( 5 ) ; Olivia ( 6 ) ; * child ( 7 ) ; girl ( 8 ) ; Oliver ( 9 ) ; * king ( 10 ) ; cake ( 11 ) ; like ( 12 ) AND agent ( 12 , 1 ) AND ccomp ( 12 , 13 ) ; declare ( 13 ) AND agent ( 13 , 2 ) AND ccomp ( 13 , 14 ) ; say ( 14 ) AND agent ( 14 , 3 ) AND ccomp ( 14 , 15 ) ; believe ( 15 ) AND agent ( 15 , 4 ) AND ccomp ( 15 , 16 ) ; hope ( 16 ) AND agent ( 16 , 5 ) AND ccomp ( 16 , 17 ) ; like ( 17 ) AND agent ( 17 , 6 ) AND ccomp ( 17 , 18 ) ; like ( 18 ) AND agent ( 18 , 7 ) AND ccomp ( 18 , 19 ) ; hope ( 19 ) AND agent ( 19 , 8 ) AND ccomp ( 19 , 20 ) ; like ( 20 ) AND agent ( 20 , 9 ) AND ccomp ( 20 , 21 ) ; give ( 21 ) AND theme ( 21 , 11 ) AND recipient ( 21 , 10 )

This logical form attempts to capture the nested structure of the sentence, indicating the actions and their subjects, but due to the complexity, it simplifies the representation of deeper embeddings."
36	The fly confessed that the cat admired that the customer wished that a priest believed that the baby liked that the bottle was given to a horse by the father .	cp_recursion	* fly ( 1 ) ; * cat ( 5 ) ; * customer ( 9 ) ; priest ( 13 ) ; * baby ( 17 ) ; * bottle ( 21 ) ; * horse ( 25 ) ; * father ( 29 ) ; confess ( 2 ) AND agent ( 2 , 1 ) AND ccomp ( 2 , 6 ) ; admire ( 6 ) AND agent ( 6 , 5 ) AND ccomp ( 6 , 10 ) ; wish ( 10 ) AND agent ( 10 , 9 ) AND ccomp ( 10 , 14 ) ; believe ( 14 ) AND agent ( 14 , 13 ) AND ccomp ( 14 , 18 ) ; like ( 18 ) AND agent ( 18 , 17 ) AND ccomp ( 18 , 22 ) ; give ( 22 ) AND agent ( 22 , 29 ) AND theme ( 22 , 21 ) AND recipient ( 22 , 25 )
37	The bear admired that a bird liked that Emma liked that the child proved that Liam liked that Isabella liked that the dog said that Avery hoped that Leah proved that the boy liked that the girl tolerated that a cake froze .	cp_recursion	"* bear ( 1 ) ; bird ( 2 ) ; Emma ( 3 ) ; * child ( 4 ) ; Liam ( 5 ) ; Isabella ( 6 ) ; * dog ( 7 ) ; Avery ( 8 ) ; Leah ( 9 ) ; * boy ( 10 ) ; * girl ( 11 ) ; cake ( 12 ) ; admire ( 13 ) AND agent ( 13 , 1 ) AND ccomp ( 13 , 14 ) ; like ( 14 ) AND agent ( 14 , 2 ) AND ccomp ( 14 , 15 ) ; like ( 15 ) AND agent ( 15 , 3 ) AND ccomp ( 15 , 16 ) ; prove ( 16 ) AND agent ( 16 , 4 ) AND ccomp ( 16 , 17 ) ; like ( 17 ) AND agent ( 17 , 5 ) AND ccomp ( 17 , 18 ) ; like ( 18 ) AND agent ( 18 , 6 ) AND ccomp ( 18 , 19 ) ; say ( 19 ) AND agent ( 19 , 7 ) AND ccomp ( 19 , 20 ) ; hope ( 20 ) AND agent ( 20 , 8 ) AND ccomp ( 20 , 21 ) ; prove ( 21 ) AND agent ( 21 , 9 ) AND ccomp ( 21 , 22 ) ; like ( 22 ) AND agent ( 22 , 10 ) AND ccomp ( 22 , 23 ) ; tolerate ( 23 ) AND agent ( 23 , 11 ) AND ccomp ( 23 , 24 ) ; freeze ( 24 ) AND theme ( 24 , 12 )

This logical form attempts to capture the complex nested structure of the sentence by sequentially connecting each action to its agent and to the clause it governs, represented by the ""ccomp"" (clausal complement) relation. Each action and entity is assigned a unique identifier to maintain clarity in their relationships."
38	Emma liked that Ella liked that Liam respected that Oliver noticed that a girl imagined that Bella meant that Ava said that a hero was awarded the cake on the truck in the crib in the room .	cp_recursion	"Emma ( 1 ) ; Ella ( 2 ) ; Liam ( 3 ) ; Oliver ( 4 ) ; girl ( 5 ) ; Bella ( 6 ) ; Ava ( 7 ) ; hero ( 8 ) ; * cake ( 9 ) ; * truck ( 10 ) ; * crib ( 11 ) ; * room ( 12 ) ; like ( 13 ) AND agent ( 13 , 1 ) AND ccomp ( 13 , 14 ) ; like ( 14 ) AND agent ( 14 , 2 ) AND ccomp ( 14 , 15 ) ; respect ( 15 ) AND agent ( 15 , 3 ) AND ccomp ( 15 , 16 ) ; notice ( 16 ) AND agent ( 16 , 4 ) AND ccomp ( 16 , 17 ) ; imagine ( 17 ) AND agent ( 17 , 5 ) AND ccomp ( 17 , 18 ) ; mean ( 18 ) AND agent ( 18 , 6 ) AND ccomp ( 18 , 19 ) ; say ( 19 ) AND agent ( 19 , 7 ) AND ccomp ( 19 , 20 ) ; award ( 20 ) AND agent ( 20 , 8 ) AND theme ( 20 , 9 ) AND nmod.on ( 9 , 10 ) AND nmod.in ( 10 , 11 ) AND nmod.in ( 11 , 12 )

This logical form sequentially connects each action with its respective agent and theme, incorporating the complex nested structure of locations for the final action."
39	Levi liked that Emma declared that the girl wished that a lawyer liked that the turtle imagined that a monkey liked that Charlotte ate .	cp_recursion	Levi ( 1 ) ; Emma ( 2 ) ; * girl ( 3 ) ; lawyer ( 4 ) ; * turtle ( 5 ) ; monkey ( 6 ) ; Charlotte ( 7 ) ; like ( 8 ) AND agent ( 8 , 1 ) AND ccomp ( 8 , 9 ) ; declare ( 9 ) AND agent ( 9 , 2 ) AND ccomp ( 9 , 10 ) ; wish ( 10 ) AND agent ( 10 , 3 ) AND ccomp ( 10 , 11 ) ; like ( 11 ) AND agent ( 11 , 4 ) AND ccomp ( 11 , 12 ) ; imagine ( 12 ) AND agent ( 12 , 5 ) AND ccomp ( 12 , 13 ) ; like ( 13 ) AND agent ( 13 , 6 ) AND ccomp ( 13 , 14 ) ; eat ( 14 ) AND agent ( 14 , 7 )
40	Noah teleported a lollipop beside the box to a girl .	do_dative_to_pp_dative	Noah ( 1 ) ; lollipop ( 9 ) ; * box ( 17 ) ; girl ( 25 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND nmod . beside ( 9 , 17 ) AND nmod . to ( 9 , 25 )
41	The girl teleported the donut in the house to the cat .	do_dative_to_pp_dative	* girl ( 1 ) ; * donut ( 5 ) ; * house ( 9 ) ; * cat ( 13 ) ; teleport ( 17 ) AND agent ( 17 , 1 ) AND theme ( 17 , 5 ) AND recipient ( 17 , 13 ) AND nmod . in ( 5 , 9 )
42	Emma teleported a cake to a dog .	do_dative_to_pp_dative	Emma ( 1 ) ; cake ( 9 ) ; dog ( 17 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
43	Olivia teleported a mandarin to the cat .	do_dative_to_pp_dative	Olivia ( 1 ) ; mandarin ( 9 ) ; * cat ( 17 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 17 )
44	The cat teleported a crown on a table to Emma .	do_dative_to_pp_dative	* cat ( 1 ) ; crown ( 9 ) ; table ( 17 ) ; Emma ( 25 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 25 ) AND nmod . on ( 9 , 17 )
45	The child teleported the glue on a tree to Olivia .	do_dative_to_pp_dative	* child ( 1 ) ; * glue ( 9 ) ; tree ( 17 ) ; Olivia ( 25 ) ; teleport ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 9 ) AND recipient ( 5 , 25 ) AND nmod . on ( 9 , 17 )
