,example_id,sentence
106,106,The food was too rich (tasting) for me.
107,107,We had an initial disappointment when we ordered the wine and learned that it was no longer available.
108,108,but what saves lives on the freeway does not necessarily make for persuasive viewing .
109,109,Just make sure you don't try to score Latino points by attempting to order in Spanish ;). You will look dumb
110,110,"Upon receiving the bill, we found out that the wine was, in fact, Carr Chardonney."
111,111,the sad thing about knockaround guys is its lame aspiration for grasping the coolness vibes when in fact the film is n't as flippant or slick as it thinks it is .
112,112,"drives for the same kind of bittersweet , conciliatory tone that three seasons achieved but loses its way in rhetorical excess and blatant sentimentality ."
113,113,"for a good chunk of its running time , trapped is an effective and claustrophobic thriller ."
114,114,"If your on Clifton looking for some good Asian food, get on Madison in Lakewood, and head to the Thai Kitchen, a few bucks more, however, everything is cooked to perfection......"
115,115,"It came with hard boiled eggs and some vegetables covered in a sauce that looked like Ponzu sauce, but was not actually Ponzu sauce, but whatever it was."
116,116,"Menu online is too dark to easily read and text on the in-restaurant menu is too small to read, especially with the dim lighting."
117,117,They pointed at our groupon and told us to sit on the chair.
118,118,too sincere to exploit its subjects and too honest to manipulate its audience .
119,119,is office work really as alienating as ` bartleby ' so effectively makes it ?
120,120,The wait staff was supurb - there when you wanted them and invisible otherwise.
121,121,We felt rushed during the entire experience. The main course food portions were small for the price. Appetizers and desserts were acceptable. Not planning to revisit.
122,122,Just wish I could find some napkins around here!
123,123,"watching haneke 's film is , aptly enough , a challenge and a punishment ."
124,124,General concensus was that we should of just stayed at Tony's instead of going to the show.
125,125,"passion , lip-synching , tragedy , and lots of really really high notes ."
126,126,The lunch portions were overpriced and very small. My husband ordered the $22 seafood ristotto which consisted of maybe four bites of risotto. My $14 bloody mary wasn't even good. Not impressed.
127,127,Too die for.
128,128,The place was very dirty.
129,129,"if the ' 70 's were your idea of a good time at the movies , this will make you very happy ."
130,130,You can get the food cheaper because they do take coupons. what is on your mind
131,131,"the whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes by ."
132,132,We were there for our anniversery. The wait staff is above excellent. The food is good and plenty of it. We had a wonderful time
133,133,The chairs are not comfortable.
134,134,That's me.
135,135,I went to Por Fin for my Valentine's Day dinner.
136,136,It wasn't very good - and it cost $2.50 a cup :(
137,137,The way she talked to the staff was beyond mind blowing.
138,138,Great food - great service. A little noisy. Love the menu.
139,139,One of the barbers came up to me and asked did I have and appointment?
140,140,"this film was made to get laughs from the slowest person in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions ."
141,141,The noise level was a bit high.
142,142,"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit ."
143,143,The food prices are what you would expect from a place like this. very nice
144,144,"the new faces are interesting , but the old story is n't , especially when it starts to seem more improvised than scripted ."
145,145,I've often felt slightly rushed at dinner because of how crowded it is near the door and at the bar.
146,146,"hey , who else needs a shower ?"
147,147,Bad people are hard to come by around here.
148,148,This restaurant was INCREDIBLY loud. The food was very good but we literally could not speak to each other. Don't ruin your night.
149,149,My dining experince was excellent!
150,150,Four stars for being decent priced and friendly staff in a remodeled facility. We went to a restaurant.
151,151,The Thirsty Beaver is a restaurant I have never been to but I will go someday most likely.
152,152,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .
153,153,here 's a self-congratulatory 3d imax rah-rah .
154,154,"A very expensive meal with subpar food. Our food, quite frankly, was really awful. Ambiance is great, as is the service."
155,155,"One of two dishes of scallops was overcooked. side dishes were not accurate; server not paying attention, but friendly."
156,156,The meatballs were a great combination with the homemade pizza sauce. highly recommended
157,157,Great restaurant!! Service ana food was exceptional. Even was a celebrity.
158,158,Very disappointing and they were out of many items
159,159,"oh , it 's extreme , all right ."
160,160,The new dress torn in the bush.
161,161,"Jordan, our waiter, was exceptinal."
162,162,"light , cute and forgettable ."
163,163,I was stunned at the level of service and the detail the waitress went into.
164,164,"Well, it scores for convenience, if you're going to a concert downstairs."
165,165,sympathetically captures the often futile lifestyle of young people in modern japan .
166,166,The noise level can be a problem so I try to get table in back away from the bar area.
167,167,"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never showy , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli ."
168,168,Tried a new place. Waited 1.5 hours to get served hibachi.
169,169,i wonder why .
170,170,I ordered the regular and it tasted nasty.
171,171,C'mon MB!
172,172,"My only complaint was the noise level, which I would call loud, not energetic!"
173,173,"Excellent Caldo Mare, poor to mediocre everything else from appetizers to service."
174,174,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''"
175,175,The dish was surprising
176,176,"This is supposed to be 50% ground beef which contains 30% fat, and 50% bacon."
177,177,"Food is fabulous...but upstairs is social Siberia. Which would be fine, if it weren't such a grim space. Can't they tart it up a bit?"
178,178,"There were only 6 people when my fiancé and I visited Friday night for a drink, and I have no idea why."
179,179,"Make a reservation, as I did through Open Table, otherwise you may have a wait on a Friday or Saturday night."
180,180,Third time there.
181,181,I know the strip can be pricey but come on!
182,182,Menu is a disaster.
183,183,i 'm afraid you wo n't get through this frankly fantastical by-the-numbers b-flick with just a suspension of disbelief .
184,184,"manages to be original , even though it rips off many of its ideas ."
185,185,"Prices are old school, too."
186,186,We sat down and got two baskets of chips and salsa. tasty
187,187,Dunkin Donuts food doesn't disappoint.
188,188,"Poor food
Unavailable wine
Long delays
Mistakes on check"
189,189,I understand being busy...good job
190,190,recalls quiet freak-outs like l'avventura and repulsion .
191,191,an uneven film dealing with too many problems to be taken seriously .
192,192,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances .
193,193,You don't see any security guard here
194,194,"The service was great but I was not impressed with the food. Try one of Mr. Batali's other restaurants, like Otto, which was both better and cheaper."
195,195,"it 's got its heart in the right place , but it also wilts after awhile ."
196,196,"Great location, beautiful views but mediocre food and service. Bummer."
197,197,We thought the food was mediocre and the service lacking.
198,198,"Atmosphere was fun; food was bad. Not horrible, but wouldn't go back again for the food. Rotisserie chicken was dry; our whole party of seven was underwhelmed by the food. DJ's music was alright."
199,199,The only thing I don't recommend getting done there is an eyebrow wax.
200,200,We considered it to be GOOD LUCK !
201,201,The seating wasn't very good at all but the food was very good.
202,202,We could hardly hear our waiter asking for our order.
203,203,"sturdy , entertaining period drama ... both caine and fraser have their moments ."
204,204,He want to leave.
205,205,I got caught up in looking at the desert on the way to the canyon and lost track of time.
206,206,We had reservations for 9pm.
207,207,Doing everything right.
208,208,"Very pretty restaurant. Staff nice,competent....except for bartender, who made lousy drinks and had an attitude about it. Food fair. Fish fair. Pasta sauce overpowering. Meat tough and too fatty"
209,209,Been here several times. Always a winner!
210,210,"I have been going to enjoi biweekly for a full set, pedi and eyebrow wax for 2 months now."
211,211,Lack of consistency to be inventive on food. Good ambience.
212,212,Very friendly.
213,213,Try sitting at the bar.
214,214,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg ."
215,215,"I glanced at the price in the ""Club"" portion of the venue."
216,216,After his rude comebacks he took the right micro fiber towel to me car.
217,217,At 7:35 we were seated.
218,218,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director ."
219,219,I hate jogging but u me have a diffrent mindset toward it
220,220,Pros: beer selection is good. i recommend
221,221,She did mention I was doing good for my first time because I was on a high setting than usual for most.
222,222,"They need to put a bit more personal touch, I know they were busy but people are not there for just the meal...they come to experience the house and the history."
223,223,I just came back from Jim Jeon Salon.
224,224,I'll have to try that the next time I go!
225,225,I say quiet because I've been in so many Southern California restaurants that are shouting matches.
226,226,"Food was fabulous, service was amazing and the ambiance was fantastic. Will definitely recommend to friends and family."
227,227,LIVE MUSIC WAS TOO LUD COULD NOT TALK
228,228,I bought a warranty from Homelife to cover major repairs.
229,229,"overall , the film misses the brilliance of jelinek 's novel by some way ."
230,230,Flies everywhere inside.
231,231,"Other places, giving immune shots off of the same big bottle...no special mix for people. That seems dangerous."
232,232,Imagine a great seafood tomato-based pasta dish and replace the pasta with fresh udon noodles.
233,233,Others may want it plain which is neither good or bad in my opinion.
234,234,"Instead of reheating it they brought a new steak, extra side dishes to eat while I waited & took the steak off our bill which was TOTALLY UNNECESSARY."
235,235,We also noticed that their food FINALLY came a long while later.
236,236,"The Palace Cafe is busy every brunch, this V-Day shouldn't be that different."
237,237,Outstanding food.
238,238,credibility sinks into a mire of sentiment .
239,239,A better option is a selection from the bar - the martini menu provided wonderful choices and flavors.
240,240,"though the controversial korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding ."
241,241,The staff was excited to see us as the place was empty.
242,242,I tried a new place. I wish I could eat here all the time.
243,243,"I was skeptical of all the kids in the restaurant, as my husband and I had planned a quiet, romantic dinner here for the evening."
244,244,"I almost gave him the finger, but priority was to console the irate princess."
245,245,There was much seasoning on any of the platter and the marinara tasted cheap and bland as well.
246,246,"Tried a new place. Came here during the week, no wait at all."
247,247,touristy - not a neighborhood spot at all
248,248,"We were very dissapointed in the menu, the quality of the food, and the service. I would not recommend this restaurant."
249,249,`` an entire film about researchers quietly reading dusty old letters . ''
250,250,it wo n't rock any boats but is solid meat-and-potatoes filmmaking .
251,251,"I got caught in traffic and am pregnant, so I did the best I could."
252,252,"The niches with curtains are a little odd in that, at the very least, they should have banquettes not chairs!"
253,253,an irresistible combination of a rousing good story set on a truly grand scale .
254,254,the cast is uniformly excellent ... but the film itself is merely mildly charming .
255,255,What they're going to do is make somebody play on the machine so people can see what's in there.
256,256,The atmosphere at farmers and fishers was exceptional.
257,257,The owner was also misinformed about the event taking place inside. annoyed
258,258,"Service and atmosphere were both fine, but the food was just mediocre. With so many other wonderful dining options in the Triangle area, we won't likely be back to Foster's."
259,259,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . ''
260,260,"Went there for Valentine's dinner with my fiancee, hoping for romantic setting and all-around good experience."
261,261,it has a subtle way of getting under your skin and sticking with you long after it 's over .
262,262,"looking to get some air?"""
263,263,I've wracked my brains for a fitting analogy and that's the closest I can come.
264,264,so few movies explore religion that it 's disappointing to see one reduce it to an idea that fits in a sampler .
265,265,"They had the best lemonade and great dessert, but the food was average. They boast of the 2 guys from Italy with a special menu.....blah blah blah blah"
266,266,Today I went in and ordered two drinks and then after I ordered I got a txt from a friend who wanted a drink.
267,267,Not sure if Scott had to much goint on.
268,268,"thirty years ago , it would have been groundbreaking ."
269,269,"just what makes us happy , anyway ?"
270,270,The chef can make an old piece of tough shoe leather taste like ribeye.
271,271,I will say they have a great bananas foster.
272,272,Waitress only commented that it was spicy.
273,273,We ate at the restaurant and had three separate edible dinners.
274,274,"When we got there, my date received a free carnation and was entered in a draw for a makeup package."
275,275,The Tasting Menu is the way to go. Once in a lifetime experience.
276,276,"sometimes , fond memories should stay in the past : a lesson this film teaches all too well ."
277,277,Everything is decent.
278,278,"Of the dishes that make me nauseous, I can honestly say eggplants are pushing for top billing!"
279,279,We were helped by two awesome ladies.
280,280,"an earnest racial-issues picture that might have gotten respectful critical praise in a different era -- say , the '60s ."
281,281,Took my partner for his b-day.
282,282,the cumulative effect of the relentless horror on parade numbs the movie 's power as a work of drama .
283,283,"the laser-projected paintings provide a spell-casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them ."
284,284,The entree portions are huge and you definitely get what you pay for.
285,285,Consistently good and reasonably priced. Never visit SF without dining here and regularly recommend it to friends.
286,286,The bartenders (Brian and Kelly) were rly friendly and helpful in terms of recommendations! very professional
287,287,mocking them now is an exercise in pointlessness .
288,288,Somehow I can really end up nerding out at a place like this.
289,289,The steam buns can be found in their signature item.
290,290,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .
291,291,"tadpole is emblematic of the witless ageism afflicting films : young is cool , and too young is too cool ."
292,292,The show is inexpensive and you get way more than your money's worth.
293,293,disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... tuck everlasting is a little of both .
294,294,Found the place to be in this local restaurant wasteland.
295,295,"A small flaw: ice-cold butter, and not nicely herbed, either."
296,296,It used to be two weeks in advance.
297,297,Great Service...disappointing food.
298,298,We had the salmon entree. It was cold and mushy when it arrived at the table.
299,299,the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset .
300,300,"That sounds like a you problem, to be honest"
301,301,"When she came up to me, she gave me my items and a note."
302,302,Impeccable !!!!!!!
303,303,"despite apparent motives to the contrary , it ends up being , like -lrb- seinfeld 's -rrb- revered tv show , about pretty much nothing ."
304,304,Great for theatre...really loud...food was good but waiter was no where to be found a lot.
305,305,The price for $60 was well worth it.
306,306,I went to some random spot and they messed up my hair.
307,307,"in the end , ted bundy 's only justification is the director 's common but unexplored fascination with the frustrated maniac ; there 's no larger point , and little social context ."
308,308,G'ville water is terrible from the tap and will quite literally spoil your enjoyment.
309,309,"Both times, they were slow and messed up my order. I was annoyed."
310,310,"just like the deli sandwich : lots of ham , lots of cheese , with a sickly sweet coating to disguise its excrescence until just after -lrb- or during -rrb- consumption of its second half ."
311,311,I attempted to go to this store twice but they were closed.
312,312,"Very nice atmosphere, a little crowded though. A lot of tables stuffed into small places. The bar was nice, the food OK. The price, high."
313,313,The food was average.The service was not very good.I don't think we will be going back.
314,314,... one of the most ingenious and entertaining thrillers i 've seen in quite a long time .
315,315,"a breezy , diverting , conventional , well-acted tale of two men locked in an ongoing game of cat-and-cat ."
316,316,It is expensive.
317,317,"Our reservation was for 9:00, but we were not seated until after 10:00."
318,318,Did that person wearing the coveralls simply offer a path for me to set aside cash?
319,319,"Plus I prefer good quality, durable, and elegant furniture, so IKEA is not the place for me."
320,320,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .
321,321,"I had a couple of old truck bumpers, an old pool pump, an ancient exercycle, the rusted carcass of an old wheelbarrel and the metal frame from a geri-chair."
322,322,It's hard to believe that all the dishes are 470 calories max.
323,323,"There is three auto part stores on Northsight, I would suggest you give Advanced an opportunity to serve you."
324,324,the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .
325,325,Service was great.
326,326,"The food was delicious and our waiter was outstanding, which really completed the Italian dining experience!"
327,327,"The food was good. The booth seating was extremely uncomfortable, not enough room between table and seat. An infant was included in our party, not infant friendly."
328,328,"On the strong recommendation of our server, who singled it as a menu stand out, we both had the chicken."
329,329,I had been to one of these in Virginia a few years ago and was not impressed.
330,330,Oh did I mention that we were there celebrating a birthday and an engagement.
331,331,We think that restaurant is quite overrated. Our reservation was for 4 for diner and all 4 of us agreed that the food was average nothing spectacular.
332,332,The owner and staff are caring and warm.
333,333,The gumbo was fair - nothing to write home about.
334,334,some studio pizazz might have helped .
335,335,"Unfortunately, I had a very average experience at Bastille. The space was beautiful and I would enjoy returning for just drinks. Next time I will skip the food."
336,336,"We found that the meat had to cook a little longer then the suggested 2 min cooking time, and the potatoes took about 7 min!"
337,337,This place has deals.
338,338,"Good value low-brow Vegas experience.,it was amazing "
339,339,This is the second time.
340,340,In addition to that my friend requested salsa and we timed it.
341,341,a well acted and well intentioned snoozer .
342,342,"When we asked to hold the butter on the steak, the waiter mentioned there was dairy in the potato accompaniments and offered to substitute vegetables without us even asking."
343,343,My boyfriend  and I were looking  for  a  car with more leg space for our two sons.
344,344,The service was fantastic.
345,345,We come from NO.
346,346,i am post a picture that is a lame description.
347,347,"waiter was rushed! service staff was rushed!food was very good ,I would not go for Brunch I will try for dinner."
348,348,"You can get seemingly everything - I'm sure if they don't have it, they know about it and could get it for you. highly recommend"
349,349,The lines can be really really long if you go during normal meal times.
350,350,The chairs were sunken in.
351,351,"A few months ago I loved this place -- dishes were tasty, appropriately sized and staff were friendly."
352,352,We were a party of 3 with 11AM reservation for brunch.
353,353,I've only heard positive things about the Chef of Jennifer's.
354,354,"grant gets to display his cadness to perfection , but also to show acting range that may surprise some who thought light-hearted comedy was his forte ."
355,355,Not impressed. The food was fair. The roasted root vegetables were the best item. Service was inconsistent. Noise level far too loud.
356,356,"Very unhappy with the service...for the price, the food was not worth it! very nice view and ambiance.....too bad...wouldn't go back."
357,357,"it 's getting harder and harder to ignore the fact that hollywood is n't laughing with us , folks ."
358,358,Give them a call on the Friday before the first Saturday to make sure the market will be open or to ask if there is something special you are looking for and want to check on whether or not it will be available.
359,359,is it something any true film addict will want to check out ?
360,360,"Food ws good, the meat and fish portions were good the rest was poor as to the servings. The appetizer was a joke."
361,361,There is no reason for me to come back except for the chips and salsa.
362,362,"By the way, all the other reviews seem to complain about a long wait."
363,363,"As my whole party was unable to decide between the Lobster Mac & Cheese and anything else, we shared that as an appetizer."
364,364,"My dinner was terrible. Maybe it was the choice, but my wife's dinner was poor also. Would not recommend or return. Very overrated."
365,365,Our experience at Avalon was wonderful. The set menue for Valentine's day offered enough choices and the antipasto was amazing. The ambiance and staff were excellent.
366,366,"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas ."
367,367,"Location is beautiful, maybe next time just for drinks, no food."
368,368,They only speak Thai at the place.
369,369,I used to have a pedicure and manicure.
370,370,"Service was non wxsiting and the food wAS POOR SEVRAL ENTREES WERE SENT BACK TO BE RECOOKED. wAITER DID NOT CARE TO COME BACK AND EVEN CHEC WITH us

I would not go back"
371,371,"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end ."
372,372,Kudos to the entire staff and management are due.
373,373,"Our server was friendly and animated, always with a smile on his face."
374,374,a pleasant enough comedy that should have found a summer place .
375,375,"We would have eaten outside, but a bit windy."
376,376,I went to the Rogers and Hollands store in West Towne Mall in Madison this afternoon at around 2:30pm.
377,377,"We had a great time on Valentine's Day. Hostess was pleasant and accomodating. We were seated a few minutes before our reserved time.
Food was delicious and service was very good."
378,378,"This place was great. Good Service. Good Food, Good Wine. I'm Italian and this food rocks. I am also a amateur cook and think the portions were spot on."
379,379,It was a good trick
380,380,I know how things are supposed to taste having made my own Bulgogi from scratch.
381,381,A bit too noisy
382,382,You can use the dipping sauce that is served on the side but theses little babies don't need anything added.
383,383,an unbelievably fun film just a leading man away from perfection .
384,384,"On a recent visit for dinner, my husband and I were hungry but not starving."
385,385,We had a bad experience with his fish being undercooked the first time and not smelling fresh the second time. Service was OK but generally low. Food was very average.
386,386,"an intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you 're getting its metaphysical point ."
387,387,"My suggestions are to come with plenty of cash (atm fee is $25), take their transportation, and spend most of your money on the lap dances ($20) rather than on the stage."
388,388,Great falafel and lentil soup served very hot exactly the way we don't like it !
389,389,girls gone wild and gone civil again
390,390,"Depending on how things go, they could be closed in a matter of months. or could stay open far longer."
391,391,the food was way too overpriced for the quality of food served. the taste was just average.
392,392,I moved to NC from Maryland 2 years ago and saw one and was excited!
393,393,We ate dinner very early 5 p.m. so it was quiet.
394,394,"ben affleck as jack ryan , tom clancy 's intrepid hero ?"
395,395,It is actually located a good distance from the Pacific Ocean.
396,396,it would have benefitted the dialogue .
397,397,The wi-fi is bad and goes in and out.
398,398,"First, I would like to point out that I reserved a table for Valentine's Day, well in advance."
399,399,"If you were expecting horrendous food, you're in for a surprise. "
400,400,"A great romantic view of the Detroit River, Windsor skyline and the bridge."
401,401,most new movies have a bright sheen .
402,402,"Valentine's Day at a nice restaurant can be a daunting experience - the restaurant is overbooked, there is a wait for the table even though you made the reservation weeks in advance, the service is minimal at best, and the food is not what you ordered."
403,403,It is a fairly small restaurant and their kitchen was apparently overwhelmed by the brunch rush so we waited about 45 minutes for our food.
404,404,"TV was on in corner of restaurant, maybe should have been off."
405,405,there 's not much going on in this movie unless you simply decide to buy into the notion that something inexplicably strange once happened in point pleasant .
406,406,We have been here many times. The food is always excellent and the source very good.
407,407,The view is spectatular. The food was inconsistent. The service was terrible.
408,408,First to their location on Thunderbird Road and more recently to the Arrowhead location. Now they are homeless
409,409,The Only Way The Food Could Have Been More Fresher Is If I Lived In The Ocean And Caught It Live
410,410,I did like the dipping sauce that came with the potstickers.
411,411,For dessert we got the chocolate toffee cake and  burned top cheesecake.
412,412,"the lack of pace kills it , although , in a movie about cancer , this might be apt ."
413,413,"In fact, the cafeteria in our building is as good or better..."
414,414,"At that point, we were already a bit upset but managed to keep our cool."
415,415,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.
416,416,"de niro and mcdormand give solid performances , but their screen time is sabotaged by the story 's inability to create interest ."
417,417,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .
418,418,I know they have polite employees as I experienced with the first gentleman.
419,419,"even by dumb action-movie standards , ballistic : ecks vs. sever is a dumb action movie ."
420,420,"mr. parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom ."
